epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7046,2.48405,4.64696,1.7948,0,0,0,0,1.51525,inf,1.37163,0.0002727,0.0002727,0.0002727
2,31.4783,1.49501,4.00918,1.2601,0.06792,0.09338,0.08309,0.05696,1.17706,inf,1.19186,0.000553118,0.000553118,0.000553118
3,47.0525,1.30482,3.08506,1.17518,0.98909,0.11514,0.13497,0.09845,1.15802,1.83147,1.1646,0.00083214,0.00083214,0.00083214
4,62.7839,1.28886,1.80104,1.15366,0.698,0.13506,0.13704,0.0936,1.26348,1.01789,1.18388,0.000902251,0.000902251,0.000902251
5,78.2735,1.20598,1.03994,1.11371,0.55497,0.13832,0.14147,0.10978,nan,nan,nan,0.000900001,0.000900001,0.000900001
6,93.6174,1.11912,0.86198,1.06923,0.98612,0.13722,0.14208,0.10965,0.95968,0.78014,1.03947,0.000897751,0.000897751,0.000897751
7,109.417,1.04577,0.76662,1.03403,0.98903,0.13598,0.14235,0.11167,0.87369,0.6648,1.00553,0.000895501,0.000895501,0.000895501
8,127.982,0.97336,0.69959,1.0135,0.99179,0.13513,0.14345,0.11255,0.85084,0.61457,0.99707,0.000893252,0.000893252,0.000893252
9,143.529,0.96511,0.67641,1.00112,0.99247,0.13541,0.14356,0.11319,0.88139,0.61427,0.99818,0.000891002,0.000891002,0.000891002
10,159.188,0.94429,0.66315,0.99226,0.99276,0.13749,0.14441,0.1147,0.83346,0.6061,0.98139,0.000888752,0.000888752,0.000888752
11,174.555,0.91516,0.64164,0.98436,0.99328,0.13607,0.20655,0.16268,0.81269,0.67117,0.97997,0.000886502,0.000886502,0.000886502
12,190.094,0.90858,0.61616,0.97707,0.9115,0.17144,0.26244,0.19815,0.81084,0.62914,0.97442,0.000884252,0.000884252,0.000884252
13,205.599,0.88528,0.58728,0.96713,0.9217,0.23059,0.27347,0.20626,0.82514,0.70945,0.97489,0.000882003,0.000882003,0.000882003
