epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9202,6.70747,5.54137,4.19139,0,0,0,0,6.959,4.49217,4.16024,0.00329825,0.00329825,0.00329825
2,83.5643,4.31918,2.94993,2.70429,0.28211,0.60088,0.25966,0.09364,2.13589,2.36616,1.43103,0.00661517,0.00661517,0.00661517
3,124.718,2.29083,1.50597,1.41958,0.33842,0.4072,0.26641,0.06556,2.62155,1.72847,1.64564,0.00991559,0.00991559,0.00991559
4,165.59,2.16768,1.44918,1.3336,0.27562,0.28692,0.1935,0.03991,2.89122,2.11351,1.81096,0.00992575,0.00992575,0.00992575
5,206.45,2.06913,1.40325,1.28469,0.52422,0.39772,0.39421,0.13561,2.2946,2.01844,1.48649,0.009901,0.009901,0.009901
6,247.243,2.01376,1.38014,1.25359,0.57692,0.5791,0.51328,0.12517,2.75902,1.43958,1.65579,0.00987625,0.00987625,0.00987625
7,288.016,1.98063,1.3546,1.23932,0.64327,0.6881,0.63444,0.1606,2.80113,1.32772,1.6436,0.0098515,0.0098515,0.0098515
8,329.058,1.93611,1.32912,1.22634,0.70399,0.77737,0.71955,0.25966,2.01814,1.27609,1.3325,0.00982675,0.00982675,0.00982675
9,370.41,1.8926,1.3317,1.20925,0.704,0.71036,0.69557,0.24733,2.10444,1.34463,1.35044,0.009802,0.009802,0.009802
10,411.708,1.88484,1.30579,1.20334,0.68315,0.69831,0.67925,0.16905,2.73815,1.28764,1.61287,0.00977725,0.00977725,0.00977725
11,452.826,1.86679,1.30106,1.19368,0.68707,0.67039,0.68079,0.22933,2.31378,1.44921,1.44247,0.0097525,0.0097525,0.0097525
12,494.108,1.83948,1.2929,1.18832,0.72408,0.70838,0.71627,0.25717,2.17742,1.34191,1.37022,0.00972775,0.00972775,0.00972775
13,535.274,1.8163,1.28853,1.17507,0.63089,0.54039,0.56546,0.17008,2.41569,1.69408,1.50732,0.009703,0.009703,0.009703
14,576.464,1.81908,1.29624,1.17344,0.30761,0.36877,0.24189,0.04291,3.41614,1.42407,2.06017,0.00967825,0.00967825,0.00967825
15,617.765,1.78475,1.29215,1.16413,0.36616,0.36481,0.24992,0.03151,3.62504,1.49029,2.25743,0.0096535,0.0096535,0.0096535
16,658.859,1.78979,1.25882,1.16438,0.07704,0.6601,0.09884,0.01904,3.67818,1.82972,2.37187,0.00962875,0.00962875,0.00962875
17,699.913,1.76641,1.27069,1.15294,0.09743,0.67325,0.10407,0.01951,3.6892,1.8632,2.35998,0.009604,0.009604,0.009604
18,741.117,1.76816,1.27338,1.15466,0.43318,0.39744,0.31436,0.04359,3.57869,1.57487,2.25093,0.00957925,0.00957925,0.00957925
19,782.478,1.7496,1.26332,1.15243,0.45433,0.50262,0.37195,0.07522,3.09677,1.37699,1.90505,0.0095545,0.0095545,0.0095545
20,823.524,1.74257,1.26259,1.14678,0.50692,0.52256,0.42506,0.07511,3.19311,1.45211,1.94279,0.00952975,0.00952975,0.00952975
21,864.841,1.74743,1.27026,1.14734,0.45399,0.42013,0.34163,0.04914,3.47447,1.48595,2.1194,0.009505,0.009505,0.009505
22,905.957,1.72586,1.25232,1.13813,0.69575,0.67914,0.69039,0.21764,2.44557,1.42807,1.52138,0.00948025,0.00948025,0.00948025
23,946.884,1.72549,1.24861,1.13998,0.74505,0.71058,0.75039,0.29776,2.02799,1.36268,1.34368,0.0094555,0.0094555,0.0094555
24,987.979,1.70487,1.25426,1.13344,0.55188,0.55062,0.49434,0.08814,3.29714,1.43695,2.04628,0.00943075,0.00943075,0.00943075
25,1029.19,1.71129,1.24576,1.13149,0.66657,0.66423,0.645,0.15765,2.71285,1.40878,1.64541,0.009406,0.009406,0.009406
26,1070.25,1.69217,1.25824,1.12769,0.76521,0.76216,0.76931,0.27231,2.30539,1.22996,1.4411,0.00938125,0.00938125,0.00938125
27,1111.33,1.71179,1.25193,1.13734,0.73534,0.71528,0.73541,0.25175,2.25222,1.31386,1.41726,0.0093565,0.0093565,0.0093565
28,1152.47,1.70655,1.24877,1.13403,0.76799,0.76539,0.7795,0.31886,1.90214,1.2458,1.27709,0.00933175,0.00933175,0.00933175
29,1193.6,1.70006,1.24598,1.13236,0.74221,0.72117,0.74851,0.25434,2.27587,1.36689,1.43933,0.009307,0.009307,0.009307
30,1234.8,1.68887,1.24709,1.12355,0.77843,0.7903,0.79408,0.32534,1.94204,1.19743,1.28456,0.00928225,0.00928225,0.00928225
31,1276.03,1.7022,1.24413,1.13784,0.78142,0.76995,0.78533,0.30795,2.10559,1.23804,1.34992,0.0092575,0.0092575,0.0092575
32,1317.15,1.68342,1.24014,1.1218,0.79875,0.81176,0.82391,0.37672,1.5885,1.2567,1.16354,0.00923275,0.00923275,0.00923275
33,1358.44,1.67948,1.2435,1.12353,0.79322,0.82601,0.82303,0.36722,1.61205,1.25315,1.16809,0.009208,0.009208,0.009208
34,1399.88,1.69459,1.24497,1.12245,0.78575,0.85099,0.82865,0.37712,1.55676,1.27184,1.14638,0.00918325,0.00918325,0.00918325
35,1441.18,1.66422,1.24618,1.12244,0.7732,0.81988,0.80526,0.32577,1.951,1.23359,1.2735,0.0091585,0.0091585,0.0091585
36,1482.41,1.6571,1.24335,1.12709,0.78207,0.82087,0.80547,0.33004,1.91305,1.24145,1.2609,0.00913375,0.00913375,0.00913375
37,1523.51,1.65522,1.24588,1.11466,0.72117,0.64442,0.66184,0.19829,2.96077,1.39356,1.85586,0.009109,0.009109,0.009109
38,1564.8,1.64963,1.24571,1.11148,0.78873,0.85225,0.82657,0.37524,1.54787,1.31052,1.14316,0.00908425,0.00908425,0.00908425
39,1606.12,1.65645,1.2437,1.11688,0.7653,0.84489,0.80403,0.34316,1.76295,1.28469,1.20496,0.0090595,0.0090595,0.0090595
40,1647.27,1.64898,1.23065,1.11727,0.79235,0.74769,0.78761,0.33623,1.82231,1.29634,1.22729,0.00903475,0.00903475,0.00903475
41,1688.3,1.64832,1.22588,1.11505,0.79837,0.82028,0.82069,0.35989,1.74967,1.22048,1.20282,0.00901,0.00901,0.00901
42,1729.06,1.64553,1.23594,1.11606,0.8059,0.81433,0.83078,0.38169,1.59114,1.28299,1.15694,0.00898525,0.00898525,0.00898525
43,1769.92,1.64173,1.23743,1.11663,0.75893,0.72262,0.74649,0.27632,2.10134,1.32647,1.32551,0.0089605,0.0089605,0.0089605
44,1810.75,1.63333,1.23086,1.10933,0.78143,0.75787,0.78869,0.32689,2.05563,1.30911,1.32036,0.00893575,0.00893575,0.00893575
45,1851.56,1.63332,1.23097,1.1075,0.81416,0.80086,0.82607,0.38205,1.51514,1.28079,1.13289,0.008911,0.008911,0.008911
46,1892.34,1.63089,1.2307,1.11179,0.79766,0.81146,0.81748,0.37161,1.57583,1.26822,1.14799,0.00888625,0.00888625,0.00888625
47,1933.11,1.6295,1.24396,1.11479,0.80624,0.77531,0.80775,0.36596,1.68899,1.29895,1.18638,0.0088615,0.0088615,0.0088615
48,1973.97,1.62903,1.2341,1.11489,0.80661,0.79045,0.81421,0.36443,1.68893,1.27903,1.18217,0.00883675,0.00883675,0.00883675
49,2015.02,1.62493,1.22772,1.10706,0.79743,0.83703,0.82866,0.36526,1.73546,1.22669,1.19107,0.008812,0.008812,0.008812
50,2056.18,1.62379,1.22879,1.10404,0.78872,0.75101,0.77852,0.31138,2.04503,1.26685,1.30175,0.00878725,0.00878725,0.00878725
51,2097.67,1.61958,1.22261,1.10044,0.79988,0.76649,0.79956,0.36236,1.69714,1.31265,1.18627,0.0087625,0.0087625,0.0087625
52,2139.04,1.61673,1.23469,1.10451,0.81327,0.80736,0.8254,0.37959,1.51735,1.3114,1.13269,0.00873775,0.00873775,0.00873775
53,2180.1,1.61188,1.24496,1.11486,0.8034,0.76414,0.79718,0.34121,1.93682,1.2676,1.28166,0.008713,0.008713,0.008713
54,2221.06,1.59898,1.22149,1.09699,0.81635,0.82765,0.83721,0.39291,1.48349,1.29417,1.12083,0.00868825,0.00868825,0.00868825
55,2261.85,1.60337,1.2282,1.1038,0.81602,0.85474,0.84848,0.38703,1.65534,1.23721,1.18397,0.0086635,0.0086635,0.0086635
56,2302.62,1.59944,1.22348,1.09389,0.80972,0.79559,0.81579,0.37772,1.59259,1.30862,1.15399,0.00863875,0.00863875,0.00863875
57,2343.52,1.59947,1.23823,1.10495,0.81894,0.80235,0.83429,0.38944,1.56976,1.29681,1.15231,0.008614,0.008614,0.008614
58,2384.2,1.59163,1.23141,1.09533,0.81876,0.8305,0.83871,0.38734,1.52046,1.28437,1.13123,0.00858925,0.00858925,0.00858925
59,2425.13,1.60058,1.2211,1.09651,0.816,0.84342,0.83946,0.39652,1.52038,1.27938,1.13098,0.0085645,0.0085645,0.0085645
60,2465.8,1.59647,1.23067,1.10183,0.81432,0.81447,0.83272,0.38985,1.50635,1.30083,1.12721,0.00853975,0.00853975,0.00853975
61,2506.65,1.58286,1.22585,1.09499,0.81528,0.80458,0.82548,0.38135,1.58686,1.29515,1.14688,0.008515,0.008515,0.008515
62,2547.76,1.59821,1.22584,1.1004,0.80684,0.83453,0.83351,0.39035,1.45766,1.33391,1.10788,0.00849025,0.00849025,0.00849025
63,2588.93,1.58013,1.23029,1.09743,0.7429,0.6694,0.71412,0.2387,2.53335,1.37434,1.53631,0.0084655,0.0084655,0.0084655
64,2630.2,1.57533,1.23054,1.09188,0.8157,0.80514,0.82423,0.37918,1.57004,1.28352,1.13791,0.00844075,0.00844075,0.00844075
65,2671.42,1.58904,1.21284,1.09371,0.79465,0.82572,0.81852,0.35991,1.83134,1.21234,1.22619,0.008416,0.008416,0.008416
66,2712.61,1.57767,1.23012,1.09852,0.81452,0.82755,0.83773,0.38735,1.51022,1.27785,1.12502,0.00839125,0.00839125,0.00839125
